Date,Weight
4/2/2016,205.2
4/1/2016,205.6
3/31/2016,205.4
3/29/2016,206
3/27/2016,207.4
3/25/2016,208.2
3/24/2016,207.6
3/23/2016,208.6
3/22/2016,208.4
3/21/2016,208.4
3/19/2016,208.6
3/18/2016,208.4
3/17/2016,208
3/16/2016,209
3/15/2016,209.4
3/14/2016,209.2
3/12/2016,206.8
3/11/2016,210
3/10/2016,210.4
3/9/2016,210.4
3/8/2016,210.4
3/7/2016,212.2
3/6/2016,211.2
3/4/2016,212.2
3/3/2016,212.2
3/2/2016,211.2
3/1/2016,211
2/29/2016,211
2/28/2016,213.8
2/27/2016,213.8
2/26/2016,216.4
2/25/2016,216.8
2/22/2016,215.4
2/21/2016,215.6
2/19/2016,215.8
2/18/2016,216.4
2/17/2016,216
2/16/2016,216.6
2/15/2016,218
2/14/2016,218
2/13/2016,219.4
2/10/2016,219.2
2/9/2016,220.2
2/8/2016,219.4
2/3/2016,221.8
1/27/2016,221.2
1/19/2016,222.8
1/16/2016,222.6
1/14/2016,221.4
1/8/2016,224
1/3/2016,223.2
1/1/2016,225.6
9/24/2015,219.5
8/26/2015,218.5
6/30/2015,213
12/4/2014,201
12/2/2014,202
11/26/2014,199
11/24/2014,200
11/20/2014,200.2
11/19/2014,200.2
11/18/2014,200
11/14/2014,198.6
11/12/2014,198.8
11/10/2014,201.2
11/7/2014,200.4
11/6/2014,200.4
11/3/2014,203
10/30/2014,200.8
10/29/2014,202.6
10/23/2014,201
10/22/2014,200.2
10/21/2014,200.8
10/20/2014,200.8
10/17/2014,203
10/16/2014,203
10/14/2014,204.2
10/13/2014,204.2
10/10/2014,202.8
10/8/2014,202.8
10/6/2014,204
10/3/2014,204
10/2/2014,203.4
10/1/2014,204.8
9/30/2014,205
9/29/2014,205.2
9/26/2014,205.4
9/25/2014,206.4
9/19/2014,208.4
9/15/2014,206.4
9/10/2014,206.6
9/5/2014,207
9/1/2014,207.4
8/27/2014,207
8/22/2014,209.6
8/19/2014,208.4
8/18/2014,210
8/14/2014,209.2
8/13/2014,210.2
8/12/2014,210.8
8/8/2014,208.2
8/6/2014,209
8/4/2014,210.6
7/30/2014,209.8
7/24/2014,211.4
7/17/2014,214
7/14/2014,213
7/9/2014,212.8
7/3/2014,214.8
7/2/2014,214.8
7/1/2014,213.4
6/27/2014,213.8
6/26/2014,214.6
6/25/2014,215
6/24/2014,215.6
6/23/2014,217.8
6/20/2014,218.8
6/17/2014,220.6
6/9/2014,222
6/5/2014,218.6
6/3/2014,218.6
5/30/2014,218.8
5/29/2014,217.2
5/20/2014,220
5/8/2014,217.4
5/6/2014,215.6
4/29/2014,217.8
4/24/2014,216.6
4/22/2014,215.4
4/21/2014,216.2
